country,geo,indicator.name,indicator,year,tfr
Cote d'Ivoire,civ,Total fertility rate,tfr,1851,6.78
Croatia,hrv,Total fertility rate,tfr,1851,5.75
Cuba,cub,Total fertility rate,tfr,1851,5.78
Cyprus,cyp,Total fertility rate,tfr,1851,6.03
Czech Republic,cze,Total fertility rate,tfr,1851,5.14
Denmark,dnk,Total fertility rate,tfr,1851,4.06
Djibouti,dji,Total fertility rate,tfr,1851,6.3
Dominican Republic,dom,Total fertility rate,tfr,1851,6.16
Ecuador,ecu,Total fertility rate,tfr,1851,6.99
Egypt,egy,Total fertility rate,tfr,1851,6.04
El Salvador,slv,Total fertility rate,tfr,1851,5.9
Equatorial Guinea,gnq,Total fertility rate,tfr,1851,5.51
Eritrea,eri,Total fertility rate,tfr,1851,6.96
Estonia,est,Total fertility rate,tfr,1851,4.52
Ethiopia,eth,Total fertility rate,tfr,1851,7.17
Fiji,fji,Total fertility rate,tfr,1851,6.45
Finland,fin,Total fertility rate,tfr,1851,5.17
France,fra,Total fertility rate,tfr,1851,3.45
French Guiana,guf,Total fertility rate,tfr,1851,6.27
French Polynesia,pyf,Total fertility rate,tfr,1851,5.97
Gabon,gab,Total fertility rate,tfr,1851,6.31
Gambia,gmb,Total fertility rate,tfr,1851,6.51
Georgia,geo,Total fertility rate,tfr,1851,7.8
Germany,deu,Total fertility rate,tfr,1851,4.87
Ghana,gha,Total fertility rate,tfr,1851,6.43
Greece,grc,Total fertility rate,tfr,1851,5.81
Greenland,grl,Total fertility rate,tfr,1851,4.33
Grenada,grd,Total fertility rate,tfr,1851,5.81
Guadeloupe,glp,Total fertility rate,tfr,1851,5.62
Guam,gum,Total fertility rate,tfr,1851,6.37
Guatemala,gtm,Total fertility rate,tfr,1851,6.45
Guinea,gin,Total fertility rate,tfr,1851,6.11
Guinea-Bissau,gnb,Total fertility rate,tfr,1851,7.25
Guyana,guy,Total fertility rate,tfr,1851,5.01
Haiti,hti,Total fertility rate,tfr,1851,6.31
Honduras,hnd,Total fertility rate,tfr,1851,6.16
"Hong Kong, China",hkg,Total fertility rate,tfr,1851,5.47
Hungary,hun,Total fertility rate,tfr,1851,5.15
Iceland,isl,Total fertility rate,tfr,1851,4.87
India,ind,Total fertility rate,tfr,1851,5.95
Indonesia,idn,Total fertility rate,tfr,1851,6.07
Iran,irn,Total fertility rate,tfr,1851,7.08
Iraq,irq,Total fertility rate,tfr,1851,7.13
Ireland,irl,Total fertility rate,tfr,1851,4.13
Israel,isr,Total fertility rate,tfr,1851,5.34
Italy,ita,Total fertility rate,tfr,1851,5.42
Jamaica,jam,Total fertility rate,tfr,1851,5.13
Japan,jpn,Total fertility rate,tfr,1851,4.7
Jordan,jor,Total fertility rate,tfr,1851,6.97
Kazakhstan,kaz,Total fertility rate,tfr,1851,6.45
Kenya,ken,Total fertility rate,tfr,1851,6.91
Kiribati,kir,Total fertility rate,tfr,1851,5.67
North Korea,prk,Total fertility rate,tfr,1851,6.1
South Korea,kor,Total fertility rate,tfr,1851,6.0
Kuwait,kwt,Total fertility rate,tfr,1851,6.87
Kyrgyz Republic,kgz,Total fertility rate,tfr,1851,6.58
Lao,lao,Total fertility rate,tfr,1851,6.13
Latvia,lva,Total fertility rate,tfr,1851,4.77
Lebanon,lbn,Total fertility rate,tfr,1851,5.74
Lesotho,lso,Total fertility rate,tfr,1851,5.84
Liberia,lbr,Total fertility rate,tfr,1851,6.19
Libya,lby,Total fertility rate,tfr,1851,7.2
Lithuania,ltu,Total fertility rate,tfr,1851,5.42
Luxembourg,lux,Total fertility rate,tfr,1851,4.7
"Macao, China",mac,Total fertility rate,tfr,1851,5.51
"Macedonia, FYR",mkd,Total fertility rate,tfr,1851,5.86
Madagascar,mdg,Total fertility rate,tfr,1851,6.89
Malawi,mwi,Total fertility rate,tfr,1851,6.78
Malaysia,mys,Total fertility rate,tfr,1851,5.45
Maldives,mdv,Total fertility rate,tfr,1851,5.98
Mali,mli,Total fertility rate,tfr,1851,6.23
Malta,mlt,Total fertility rate,tfr,1851,5.49
Martinique,mtq,Total fertility rate,tfr,1851,5.71
Mauritania,mrt,Total fertility rate,tfr,1851,6.34
Mauritius,mus,Total fertility rate,tfr,1851,5.03
Mayotte,myt,Total fertility rate,tfr,1851,7.07
Mexico,mex,Total fertility rate,tfr,1851,6.8
"Micronesia, Fed. Sts.",fsm,Total fertility rate,tfr,1851,6.02
Moldova,mda,Total fertility rate,tfr,1851,6.39
Mongolia,mng,Total fertility rate,tfr,1851,5.94
Montenegro,mne,Total fertility rate,tfr,1851,5.86
Morocco,mar,Total fertility rate,tfr,1851,6.5
Mozambique,moz,Total fertility rate,tfr,1851,6.63
Myanmar,mmr,Total fertility rate,tfr,1851,6.03
Namibia,nam,Total fertility rate,tfr,1851,5.96
Nepal,npl,Total fertility rate,tfr,1851,6.15
Netherlands,nld,Total fertility rate,tfr,1851,4.8
Netherlands Antilles,ant,Total fertility rate,tfr,1851,5.8
New Caledonia,ncl,Total fertility rate,tfr,1851,6.41
New Zealand,nzl,Total fertility rate,tfr,1851,5.25
Nicaragua,nic,Total fertility rate,tfr,1851,6.16
Niger,ner,Total fertility rate,tfr,1851,6.83
Nigeria,nga,Total fertility rate,tfr,1851,6.55
Norway,nor,Total fertility rate,tfr,1851,4.6
Oman,omn,Total fertility rate,tfr,1851,6.88
Pakistan,pak,Total fertility rate,tfr,1851,6.59
Panama,pan,Total fertility rate,tfr,1851,5.36
Papua New Guinea,png,Total fertility rate,tfr,1851,6.23
Paraguay,pry,Total fertility rate,tfr,1851,6.49
Peru,per,Total fertility rate,tfr,1851,6.82
Philippines,phl,Total fertility rate,tfr,1851,6.39
Poland,pol,Total fertility rate,tfr,1851,5.63
Portugal,prt,Total fertility rate,tfr,1851,4.47
Puerto Rico,pri,Total fertility rate,tfr,1851,5.15
Qatar,qat,Total fertility rate,tfr,1851,6.97
Reunion,reu,Total fertility rate,tfr,1851,6.51
Romania,rou,Total fertility rate,tfr,1851,5.08
Russia,rus,Total fertility rate,tfr,1851,7.07
Rwanda,rwa,Total fertility rate,tfr,1851,7.07
St. Lucia,lca,Total fertility rate,tfr,1851,5.53
St. Vincent and the Grenadines,vct,Total fertility rate,tfr,1851,6.54
Samoa,wsm,Total fertility rate,tfr,1851,6.98
Sao Tome and Principe,stp,Total fertility rate,tfr,1851,6.23
Saudi Arabia,sau,Total fertility rate,tfr,1851,6.86
Senegal,sen,Total fertility rate,tfr,1851,5.7
Serbia,srb,Total fertility rate,tfr,1851,5.86
Seychelles,syc,Total fertility rate,tfr,1851,5.16
Sierra Leone,sle,Total fertility rate,tfr,1851,5.72
Singapore,sgp,Total fertility rate,tfr,1851,5.28
Slovak Republic,svk,Total fertility rate,tfr,1851,5.94
Slovenia,svn,Total fertility rate,tfr,1851,4.39
Solomon Islands,slb,Total fertility rate,tfr,1851,6.42
Somalia,som,Total fertility rate,tfr,1851,6.87
South Africa,zaf,Total fertility rate,tfr,1851,6.47
Spain,esp,Total fertility rate,tfr,1851,5.07
Sri Lanka,lka,Total fertility rate,tfr,1851,5.68
Sudan,sdn,Total fertility rate,tfr,1851,6.64
Suriname,sur,Total fertility rate,tfr,1851,6.58
Swaziland,swz,Total fertility rate,tfr,1851,6.71
Sweden,swe,Total fertility rate,tfr,1851,4.36
Switzerland,che,Total fertility rate,tfr,1851,4.02
Syria,syr,Total fertility rate,tfr,1851,6.85
Taiwan,twn,Total fertility rate,tfr,1851,5.83
Tajikistan,tjk,Total fertility rate,tfr,1851,5.87
Tanzania,tza,Total fertility rate,tfr,1851,6.74
Thailand,tha,Total fertility rate,tfr,1851,6.35
Timor-Leste,tls,Total fertility rate,tfr,1851,6.52
Togo,tgo,Total fertility rate,tfr,1851,6.34
Tonga,ton,Total fertility rate,tfr,1851,6.51
Trinidad and Tobago,tto,Total fertility rate,tfr,1851,4.72
Tunisia,tun,Total fertility rate,tfr,1851,6.4
Turkey,tur,Total fertility rate,tfr,1851,6.92
Turkmenistan,tkm,Total fertility rate,tfr,1851,6.22
Uganda,uga,Total fertility rate,tfr,1851,6.89
Ukraine,ukr,Total fertility rate,tfr,1851,7.5
United Arab Emirates,are,Total fertility rate,tfr,1851,6.94
United Kingdom,gbr,Total fertility rate,tfr,1851,4.94
United States,usa,Total fertility rate,tfr,1851,5.69
Uruguay,ury,Total fertility rate,tfr,1851,5.8
Uzbekistan,uzb,Total fertility rate,tfr,1851,5.71
Vanuatu,vut,Total fertility rate,tfr,1851,6.6
Venezuela,ven,Total fertility rate,tfr,1851,5.82
Palestine,pse,Total fertility rate,tfr,1851,6.97
Western Sahara,esh,Total fertility rate,tfr,1851,6.32
Vietnam,vnm,Total fertility rate,tfr,1851,4.7
Virgin Islands (U.S.),vir,Total fertility rate,tfr,1851,5.55
Yemen,yem,Total fertility rate,tfr,1851,6.88
Zambia,zmb,Total fertility rate,tfr,1851,6.71
Zimbabwe,zwe,Total fertility rate,tfr,1851,6.75
South Sudan,ssd,Total fertility rate,tfr,1851,6.64
Afghanistan,afg,Total fertility rate,tfr,1852,7.0
Albania,alb,Total fertility rate,tfr,1852,4.6
Algeria,dza,Total fertility rate,tfr,1852,6.99
Angola,ago,Total fertility rate,tfr,1852,6.97
Antigua and Barbuda,atg,Total fertility rate,tfr,1852,4.81
Argentina,arg,Total fertility rate,tfr,1852,6.8
Armenia,arm,Total fertility rate,tfr,1852,7.96
Aruba,abw,Total fertility rate,tfr,1852,5.64
Australia,aus,Total fertility rate,tfr,1852,4.7
Austria,aut,Total fertility rate,tfr,1852,5.1
Azerbaijan,aze,Total fertility rate,tfr,1852,8.1
Bahamas,bhs,Total fertility rate,tfr,1852,5.9
Bahrain,bhr,Total fertility rate,tfr,1852,7.01
Bangladesh,bgd,Total fertility rate,tfr,1852,6.7
Barbados,brb,Total fertility rate,tfr,1852,5.31
Belarus,blr,Total fertility rate,tfr,1852,7.0
Belgium,bel,Total fertility rate,tfr,1852,4.25
Belize,blz,Total fertility rate,tfr,1852,6.67
Benin,ben,Total fertility rate,tfr,1852,5.6
Bhutan,btn,Total fertility rate,tfr,1852,6.67
Bolivia,bol,Total fertility rate,tfr,1852,6.48
Bosnia and Herzegovina,bih,Total fertility rate,tfr,1852,5.83
Botswana,bwa,Total fertility rate,tfr,1852,6.48
Brazil,bra,Total fertility rate,tfr,1852,6.26
Brunei,brn,Total fertility rate,tfr,1852,7.06
Bulgaria,bgr,Total fertility rate,tfr,1852,5.16
Burkina Faso,bfa,Total fertility rate,tfr,1852,6.06
Burundi,bdi,Total fertility rate,tfr,1852,6.8
Cambodia,khm,Total fertility rate,tfr,1852,6.95
Cameroon,cmr,Total fertility rate,tfr,1852,5.54
Canada,can,Total fertility rate,tfr,1852,5.72
Cape Verde,cpv,Total fertility rate,tfr,1852,6.51
Central African Republic,caf,Total fertility rate,tfr,1852,6.51
Chad,tcd,Total fertility rate,tfr,1852,6.06
Channel Islands,chanisl,Total fertility rate,tfr,1852,5.07
Chile,chl,Total fertility rate,tfr,1852,6.24
China,chn,Total fertility rate,tfr,1852,5.5
Colombia,col,Total fertility rate,tfr,1852,6.19
Comoros,com,Total fertility rate,tfr,1852,6.01
"Congo, Dem. Rep.",cod,Total fertility rate,tfr,1852,5.99
"Congo, Rep.",cog,Total fertility rate,tfr,1852,5.67
Costa Rica,cri,Total fertility rate,tfr,1852,6.93
Cote d'Ivoire,civ,Total fertility rate,tfr,1852,6.78
Croatia,hrv,Total fertility rate,tfr,1852,5.75
Cuba,cub,Total fertility rate,tfr,1852,5.78
Cyprus,cyp,Total fertility rate,tfr,1852,6.03
Czech Republic,cze,Total fertility rate,tfr,1852,5.13
Denmark,dnk,Total fertility rate,tfr,1852,4.48
Djibouti,dji,Total fertility rate,tfr,1852,6.3
Dominican Republic,dom,Total fertility rate,tfr,1852,6.16
Ecuador,ecu,Total fertility rate,tfr,1852,6.99
Egypt,egy,Total fertility rate,tfr,1852,6.04
El Salvador,slv,Total fertility rate,tfr,1852,5.9
Equatorial Guinea,gnq,Total fertility rate,tfr,1852,5.51
Eritrea,eri,Total fertility rate,tfr,1852,6.96
Estonia,est,Total fertility rate,tfr,1852,4.59
Ethiopia,eth,Total fertility rate,tfr,1852,7.17
Fiji,fji,Total fertility rate,tfr,1852,6.45
Finland,fin,Total fertility rate,tfr,1852,4.79
France,fra,Total fertility rate,tfr,1852,3.42
French Guiana,guf,Total fertility rate,tfr,1852,6.27
French Polynesia,pyf,Total fertility rate,tfr,1852,5.97
Gabon,gab,Total fertility rate,tfr,1852,6.31
Gambia,gmb,Total fertility rate,tfr,1852,6.51
Georgia,geo,Total fertility rate,tfr,1852,7.8
Germany,deu,Total fertility rate,tfr,1852,4.74
Ghana,gha,Total fertility rate,tfr,1852,6.43
Greece,grc,Total fertility rate,tfr,1852,5.59
Greenland,grl,Total fertility rate,tfr,1852,4.32
Grenada,grd,Total fertility rate,tfr,1852,5.81
Guadeloupe,glp,Total fertility rate,tfr,1852,5.62
Guam,gum,Total fertility rate,tfr,1852,6.37
Guatemala,gtm,Total fertility rate,tfr,1852,6.45
Guinea,gin,Total fertility rate,tfr,1852,6.11
Guinea-Bissau,gnb,Total fertility rate,tfr,1852,7.25
Guyana,guy,Total fertility rate,tfr,1852,5.01
Haiti,hti,Total fertility rate,tfr,1852,6.31
Honduras,hnd,Total fertility rate,tfr,1852,6.16
"Hong Kong, China",hkg,Total fertility rate,tfr,1852,5.47
Hungary,hun,Total fertility rate,tfr,1852,5.12
Iceland,isl,Total fertility rate,tfr,1852,4.86
India,ind,Total fertility rate,tfr,1852,5.95
Indonesia,idn,Total fertility rate,tfr,1852,6.07
Iran,irn,Total fertility rate,tfr,1852,7.08
Iraq,irq,Total fertility rate,tfr,1852,7.13
Ireland,irl,Total fertility rate,tfr,1852,4.06
Israel,isr,Total fertility rate,tfr,1852,5.33
Italy,ita,Total fertility rate,tfr,1852,5.38
Jamaica,jam,Total fertility rate,tfr,1852,5.13
Japan,jpn,Total fertility rate,tfr,1852,4.71
Jordan,jor,Total fertility rate,tfr,1852,6.97
Kazakhstan,kaz,Total fertility rate,tfr,1852,6.45
Kenya,ken,Total fertility rate,tfr,1852,6.91
Kiribati,kir,Total fertility rate,tfr,1852,5.67
North Korea,prk,Total fertility rate,tfr,1852,6.1
South Korea,kor,Total fertility rate,tfr,1852,6.0
Kuwait,kwt,Total fertility rate,tfr,1852,6.87
Kyrgyz Republic,kgz,Total fertility rate,tfr,1852,6.58
Lao,lao,Total fertility rate,tfr,1852,6.13
Latvia,lva,Total fertility rate,tfr,1852,4.75
Lebanon,lbn,Total fertility rate,tfr,1852,5.74
Lesotho,lso,Total fertility rate,tfr,1852,5.84
Liberia,lbr,Total fertility rate,tfr,1852,6.19
Libya,lby,Total fertility rate,tfr,1852,7.2
Lithuania,ltu,Total fertility rate,tfr,1852,5.41
Luxembourg,lux,Total fertility rate,tfr,1852,4.34
"Macao, China",mac,Total fertility rate,tfr,1852,5.51
"Macedonia, FYR",mkd,Total fertility rate,tfr,1852,5.82
Madagascar,mdg,Total fertility rate,tfr,1852,6.89
Malawi,mwi,Total fertility rate,tfr,1852,6.78
Malaysia,mys,Total fertility rate,tfr,1852,5.45
Maldives,mdv,Total fertility rate,tfr,1852,5.98
Mali,mli,Total fertility rate,tfr,1852,6.23
Malta,mlt,Total fertility rate,tfr,1852,5.49
Martinique,mtq,Total fertility rate,tfr,1852,5.71
Mauritania,mrt,Total fertility rate,tfr,1852,6.34
Mauritius,mus,Total fertility rate,tfr,1852,5.03
Mayotte,myt,Total fertility rate,tfr,1852,7.07
Mexico,mex,Total fertility rate,tfr,1852,6.8
"Micronesia, Fed. Sts.",fsm,Total fertility rate,tfr,1852,6.02
Moldova,mda,Total fertility rate,tfr,1852,6.39
Mongolia,mng,Total fertility rate,tfr,1852,5.94
Montenegro,mne,Total fertility rate,tfr,1852,5.82
Morocco,mar,Total fertility rate,tfr,1852,6.5
Mozambique,moz,Total fertility rate,tfr,1852,6.63
Myanmar,mmr,Total fertility rate,tfr,1852,6.03
Namibia,nam,Total fertility rate,tfr,1852,5.96
Nepal,npl,Total fertility rate,tfr,1852,6.15
Netherlands,nld,Total fertility rate,tfr,1852,4.7
Netherlands Antilles,ant,Total fertility rate,tfr,1852,5.8
New Caledonia,ncl,Total fertility rate,tfr,1852,6.41
New Zealand,nzl,Total fertility rate,tfr,1852,5.25
Nicaragua,nic,Total fertility rate,tfr,1852,6.16
Niger,ner,Total fertility rate,tfr,1852,6.83
Nigeria,nga,Total fertility rate,tfr,1852,6.55
Norway,nor,Total fertility rate,tfr,1852,4.46
Oman,omn,Total fertility rate,tfr,1852,6.88
Pakistan,pak,Total fertility rate,tfr,1852,6.59
Panama,pan,Total fertility rate,tfr,1852,5.36
Papua New Guinea,png,Total fertility rate,tfr,1852,6.23
Paraguay,pry,Total fertility rate,tfr,1852,6.49
Peru,per,Total fertility rate,tfr,1852,6.82
Philippines,phl,Total fertility rate,tfr,1852,6.45
Poland,pol,Total fertility rate,tfr,1852,5.49
Portugal,prt,Total fertility rate,tfr,1852,4.44
Puerto Rico,pri,Total fertility rate,tfr,1852,5.15
Qatar,qat,Total fertility rate,tfr,1852,6.97
Reunion,reu,Total fertility rate,tfr,1852,6.51
Romania,rou,Total fertility rate,tfr,1852,4.94
Russia,rus,Total fertility rate,tfr,1852,7.07
Rwanda,rwa,Total fertility rate,tfr,1852,7.07
St. Lucia,lca,Total fertility rate,tfr,1852,5.53
St. Vincent and the Grenadines,vct,Total fertility rate,tfr,1852,6.54
Samoa,wsm,Total fertility rate,tfr,1852,6.98
Sao Tome and Principe,stp,Total fertility rate,tfr,1852,6.23
Saudi Arabia,sau,Total fertility rate,tfr,1852,6.86
Senegal,sen,Total fertility rate,tfr,1852,5.7
Serbia,srb,Total fertility rate,tfr,1852,5.82
Seychelles,syc,Total fertility rate,tfr,1852,5.16
Sierra Leone,sle,Total fertility rate,tfr,1852,5.72
Singapore,sgp,Total fertility rate,tfr,1852,5.28
Slovak Republic,svk,Total fertility rate,tfr,1852,5.94
Slovenia,svn,Total fertility rate,tfr,1852,4.38
Solomon Islands,slb,Total fertility rate,tfr,1852,6.42
Somalia,som,Total fertility rate,tfr,1852,6.87
South Africa,zaf,Total fertility rate,tfr,1852,6.47
Spain,esp,Total fertility rate,tfr,1852,5.01
Sri Lanka,lka,Total fertility rate,tfr,1852,5.68
Sudan,sdn,Total fertility rate,tfr,1852,6.64
Suriname,sur,Total fertility rate,tfr,1852,6.58
Swaziland,swz,Total fertility rate,tfr,1852,6.71
Sweden,swe,Total fertility rate,tfr,1852,4.2
Switzerland,che,Total fertility rate,tfr,1852,3.89
Syria,syr,Total fertility rate,tfr,1852,6.85
Taiwan,twn,Total fertility rate,tfr,1852,5.83
Tajikistan,tjk,Total fertility rate,tfr,1852,5.87
Tanzania,tza,Total fertility rate,tfr,1852,6.74
Thailand,tha,Total fertility rate,tfr,1852,6.35
Timor-Leste,tls,Total fertility rate,tfr,1852,6.52
Togo,tgo,Total fertility rate,tfr,1852,6.34
Tonga,ton,Total fertility rate,tfr,1852,6.51
Trinidad and Tobago,tto,Total fertility rate,tfr,1852,4.73
Tunisia,tun,Total fertility rate,tfr,1852,6.4
Turkey,tur,Total fertility rate,tfr,1852,6.92
Turkmenistan,tkm,Total fertility rate,tfr,1852,6.22
Uganda,uga,Total fertility rate,tfr,1852,6.89
Ukraine,ukr,Total fertility rate,tfr,1852,7.5
United Arab Emirates,are,Total fertility rate,tfr,1852,6.94
United Kingdom,gbr,Total fertility rate,tfr,1852,4.94
United States,usa,Total fertility rate,tfr,1852,5.64
Uruguay,ury,Total fertility rate,tfr,1852,5.8
Uzbekistan,uzb,Total fertility rate,tfr,1852,5.71
Vanuatu,vut,Total fertility rate,tfr,1852,6.6
Venezuela,ven,Total fertility rate,tfr,1852,5.82
Palestine,pse,Total fertility rate,tfr,1852,6.97
Western Sahara,esh,Total fertility rate,tfr,1852,6.32
Vietnam,vnm,Total fertility rate,tfr,1852,4.7
Virgin Islands (U.S.),vir,Total fertility rate,tfr,1852,5.55
Yemen,yem,Total fertility rate,tfr,1852,6.88
Zambia,zmb,Total fertility rate,tfr,1852,6.71
Zimbabwe,zwe,Total fertility rate,tfr,1852,6.75
South Sudan,ssd,Total fertility rate,tfr,1852,6.64
Afghanistan,afg,Total fertility rate,tfr,1853,7.0
Albania,alb,Total fertility rate,tfr,1853,4.6
Algeria,dza,Total fertility rate,tfr,1853,6.99
Angola,ago,Total fertility rate,tfr,1853,6.97
Antigua and Barbuda,atg,Total fertility rate,tfr,1853,4.8
Argentina,arg,Total fertility rate,tfr,1853,6.8
Armenia,arm,Total fertility rate,tfr,1853,7.97
Aruba,abw,Total fertility rate,tfr,1853,5.64
Australia,aus,Total fertility rate,tfr,1853,5.03
Austria,aut,Total fertility rate,tfr,1853,5.1
Azerbaijan,aze,Total fertility rate,tfr,1853,8.1
Bahamas,bhs,Total fertility rate,tfr,1853,5.9
Bahrain,bhr,Total fertility rate,tfr,1853,7.0
Bangladesh,bgd,Total fertility rate,tfr,1853,6.7
Barbados,brb,Total fertility rate,tfr,1853,5.3
Belarus,blr,Total fertility rate,tfr,1853,7.0
Belgium,bel,Total fertility rate,tfr,1853,4.18
Belize,blz,Total fertility rate,tfr,1853,6.67
Benin,ben,Total fertility rate,tfr,1853,5.6
Bhutan,btn,Total fertility rate,tfr,1853,6.67
Bolivia,bol,Total fertility rate,tfr,1853,6.48
Bosnia and Herzegovina,bih,Total fertility rate,tfr,1853,5.78
Botswana,bwa,Total fertility rate,tfr,1853,6.48
Brazil,bra,Total fertility rate,tfr,1853,6.26
Brunei,brn,Total fertility rate,tfr,1853,7.06
Bulgaria,bgr,Total fertility rate,tfr,1853,5.16
Burkina Faso,bfa,Total fertility rate,tfr,1853,6.06
Burundi,bdi,Total fertility rate,tfr,1853,6.8
Cambodia,khm,Total fertility rate,tfr,1853,6.95
Cameroon,cmr,Total fertility rate,tfr,1853,5.54
Canada,can,Total fertility rate,tfr,1853,5.72
Cape Verde,cpv,Total fertility rate,tfr,1853,6.51
Central African Republic,caf,Total fertility rate,tfr,1853,6.51
Chad,tcd,Total fertility rate,tfr,1853,6.06
Channel Islands,chanisl,Total fertility rate,tfr,1853,5.07
Chile,chl,Total fertility rate,tfr,1853,5.99
China,chn,Total fertility rate,tfr,1853,5.5
Colombia,col,Total fertility rate,tfr,1853,6.19
Comoros,com,Total fertility rate,tfr,1853,6.01
"Congo, Dem. Rep.",cod,Total fertility rate,tfr,1853,5.99
"Congo, Rep.",cog,Total fertility rate,tfr,1853,5.67
Costa Rica,cri,Total fertility rate,tfr,1853,6.93
Cote d'Ivoire,civ,Total fertility rate,tfr,1853,6.78
Croatia,hrv,Total fertility rate,tfr,1853,5.75
Cuba,cub,Total fertility rate,tfr,1853,5.78
Cyprus,cyp,Total fertility rate,tfr,1853,6.03
Czech Republic,cze,Total fertility rate,tfr,1853,5.12
Denmark,dnk,Total fertility rate,tfr,1853,4.27
Djibouti,dji,Total fertility rate,tfr,1853,6.3
Dominican Republic,dom,Total fertility rate,tfr,1853,6.16
Ecuador,ecu,Total fertility rate,tfr,1853,6.99
Egypt,egy,Total fertility rate,tfr,1853,6.04
El Salvador,slv,Total fertility rate,tfr,1853,5.9
Equatorial Guinea,gnq,Total fertility rate,tfr,1853,5.51
Eritrea,eri,Total fertility rate,tfr,1853,6.96
Estonia,est,Total fertility rate,tfr,1853,4.65
Ethiopia,eth,Total fertility rate,tfr,1853,7.17
Fiji,fji,Total fertility rate,tfr,1853,6.45
Finland,fin,Total fertility rate,tfr,1853,4.8
France,fra,Total fertility rate,tfr,1853,3.38
French Guiana,guf,Total fertility rate,tfr,1853,6.27
French Polynesia,pyf,Total fertility rate,tfr,1853,5.97
Gabon,gab,Total fertility rate,tfr,1853,6.3
Gambia,gmb,Total fertility rate,tfr,1853,6.51
Georgia,geo,Total fertility rate,tfr,1853,7.8
Germany,deu,Total fertility rate,tfr,1853,4.6
Ghana,gha,Total fertility rate,tfr,1853,6.43
Greece,grc,Total fertility rate,tfr,1853,5.36
Greenland,grl,Total fertility rate,tfr,1853,4.31
Grenada,grd,Total fertility rate,tfr,1853,5.81
Guadeloupe,glp,Total fertility rate,tfr,1853,5.62
Guam,gum,Total fertility rate,tfr,1853,6.37
Guatemala,gtm,Total fertility rate,tfr,1853,6.45
Guinea,gin,Total fertility rate,tfr,1853,6.11
Guinea-Bissau,gnb,Total fertility rate,tfr,1853,7.25
Guyana,guy,Total fertility rate,tfr,1853,5.01
Haiti,hti,Total fertility rate,tfr,1853,6.31
Honduras,hnd,Total fertility rate,tfr,1853,6.16
"Hong Kong, China",hkg,Total fertility rate,tfr,1853,5.47
Hungary,hun,Total fertility rate,tfr,1853,5.09
Iceland,isl,Total fertility rate,tfr,1853,4.85
India,ind,Total fertility rate,tfr,1853,5.95
Indonesia,idn,Total fertility rate,tfr,1853,6.07
Iran,irn,Total fertility rate,tfr,1853,7.08
Iraq,irq,Total fertility rate,tfr,1853,7.13
Ireland,irl,Total fertility rate,tfr,1853,3.99
Israel,isr,Total fertility rate,tfr,1853,5.31
Italy,ita,Total fertility rate,tfr,1853,5.33
Jamaica,jam,Total fertility rate,tfr,1853,5.13
Japan,jpn,Total fertility rate,tfr,1853,4.72
Jordan,jor,Total fertility rate,tfr,1853,6.97
Kazakhstan,kaz,Total fertility rate,tfr,1853,6.45
Kenya,ken,Total fertility rate,tfr,1853,6.91
Kiribati,kir,Total fertility rate,tfr,1853,5.67
North Korea,prk,Total fertility rate,tfr,1853,6.1
South Korea,kor,Total fertility rate,tfr,1853,6.0
Kuwait,kwt,Total fertility rate,tfr,1853,6.87
Kyrgyz Republic,kgz,Total fertility rate,tfr,1853,6.58
Lao,lao,Total fertility rate,tfr,1853,6.13
Latvia,lva,Total fertility rate,tfr,1853,4.72
Lebanon,lbn,Total fertility rate,tfr,1853,5.74
Lesotho,lso,Total fertility rate,tfr,1853,5.84
Liberia,lbr,Total fertility rate,tfr,1853,6.19
Libya,lby,Total fertility rate,tfr,1853,7.2
Lithuania,ltu,Total fertility rate,tfr,1853,5.41
Luxembourg,lux,Total fertility rate,tfr,1853,4.24
"Macao, China",mac,Total fertility rate,tfr,1853,5.51
"Macedonia, FYR",mkd,Total fertility rate,tfr,1853,5.78
Madagascar,mdg,Total fertility rate,tfr,1853,6.89
Malawi,mwi,Total fertility rate,tfr,1853,6.78
Malaysia,mys,Total fertility rate,tfr,1853,5.45
Maldives,mdv,Total fertility rate,tfr,1853,5.98
Mali,mli,Total fertility rate,tfr,1853,6.23
Malta,mlt,Total fertility rate,tfr,1853,5.49
Martinique,mtq,Total fertility rate,tfr,1853,5.71
Mauritania,mrt,Total fertility rate,tfr,1853,6.34
Mauritius,mus,Total fertility rate,tfr,1853,5.03
Mayotte,myt,Total fertility rate,tfr,1853,7.07
Mexico,mex,Total fertility rate,tfr,1853,6.8
"Micronesia, Fed. Sts.",fsm,Total fertility rate,tfr,1853,6.02
Moldova,mda,Total fertility rate,tfr,1853,6.39
Mongolia,mng,Total fertility rate,tfr,1853,5.94
Montenegro,mne,Total fertility rate,tfr,1853,5.78
Morocco,mar,Total fertility rate,tfr,1853,6.5
Mozambique,moz,Total fertility rate,tfr,1853,6.63
Myanmar,mmr,Total fertility rate,tfr,1853,6.03
Namibia,nam,Total fertility rate,tfr,1853,5.96
Nepal,npl,Total fertility rate,tfr,1853,6.15
Netherlands,nld,Total fertility rate,tfr,1853,4.6
Netherlands Antilles,ant,Total fertility rate,tfr,1853,5.8
New Caledonia,ncl,Total fertility rate,tfr,1853,6.41
New Zealand,nzl,Total fertility rate,tfr,1853,5.25
Nicaragua,nic,Total fertility rate,tfr,1853,6.16
